# Functions

glyph; monadic; dyadic; input
+; Conjugate; Add;
-; Negate; Subtract;
×; Sign; Multiply; \=
÷; Reciprocal; Divide; \-
⋆; Exponential; Power; \+
√; Square Root; Root; \_
⌊; Floor; Minimum
⌈; Ceiling; Maximum
∧; Sort Up; And
∨; Sort Down; Or
¬; Not; Span
|; Absolute Value; Modulus
≤; Less Than or Equal to
<; Enclose; Less Than
>; Merge; Greater Than
≥; Greater Than or Equal to
=; Rank; Equals
≠; Length; Not Equals
≡; Depth; Match
≢; Shape; Not Match
⊣; Identity; Left
⊢; Identity; Right
⥊; Deshape; Reshape
∾; Join; Join to
≍; Solo; Couple
⋈; Enlist; Pair
↑; Prefixes; Take
↓; Suffixes; Drop
↕; Range; Windows
»; Nudge; Shift Before
«; Nudge Back; Shift After
⌽; Reverse; Rotate
⍉; Transpose; Reorder Axes
/; Indices; Replicate
⍋; Grade Up; Bins Up
⍒; Grade Down; Bins Down
⊏; First Cell; Select
⊑; First; Pick
⊐; Classify; Index of
⊒; Occurrence Count; Progressive Index of
∊; Mark Firsts; Member of
⍷; Deduplicate; Find
⊔; Group Indices; Group
!; Assert; Assert with Message

# Combinators

glyph; name; definition
˙; Constant; {𝕩⋄𝕗}
˜; Self/Swap; {𝕩𝔽𝕨⊣𝕩}
∘; Atop; {𝔽𝕨𝔾𝕩}
○; Over; {(𝔾𝕨)𝔽𝔾𝕩}
⊸; Before/Bind; {(𝔽𝕨⊣𝕩)𝔾𝕩}
⟜; After/Bind; {(𝕨⊣𝕩)𝔽𝔾𝕩}
⊘; Valences; {𝔽𝕩;𝕨𝔾𝕩}
◶; Choose; {f←(𝕨𝔽𝕩)⊑𝕘 ⋄ 𝕨F𝕩}
⌾; Under; {𝔾⁼∘𝔽○𝔾} OR {(𝔾𝕩)↩𝕨𝔽○𝔾𝕩⋄𝕩}
⎊; Catch; {𝕨𝔽𝕩… 𝕨𝔾𝕩}

# Modifiers

glyph; name; type
˘; Cells; 1-modifier
⎉; Rank; 2-modifier
¨; Each; 1-modifier
⚇; Depth 2-modifier
⌜; Table; 1-modifier
⁼; Undo; 1-modifier
⍟; Repeat; 2-modifier
´; Fold; 1-modifier
˝; Insert; 1-modifier
`; Scan; 1-modifier
